Date,Open,High,Low,Close,Volume,MA7,MA21,MA50,RSI,MACD,MACD_Signal,MACD_Hist,Day_of_Week,Month,Year
2016-01-10,448.2380065917969,448.3089904785156,440.35101318359375,447.9909973144531,35995900,443.00514439174106,437.12452189127606,413.3955194091797,57.926402529300944,7.768527514720688,7.875946371876398,-0.10741885715570998,6,1,2016
2016-01-11,448.697998046875,450.6619873046875,443.8550109863281,448.4280090332031,40450000,445.1961451939174,437.59066481817337,415.873359375,58.117961187220565,7.757773577124112,7.852311812925942,-0.09453823580182963,0,1,2016
2016-01-12,448.1820068359375,448.1820068359375,435.69000244140625,435.69000244140625,115607000,445.72900390625,437.5486653645833,418.1262396240234,50.850533466707155,6.644803173369496,7.610810085014654,-0.9660069116451577,1,1,2016
2016-01-13,434.6650085449219,435.1860046386719,424.4429931640625,432.3710021972656,173888000,446.19557407924106,437.07104637509303,420.37273986816405,49.12676467818697,5.432330009375448,7.175114069886813,-1.7427840605113651,2,1,2016
2016-01-14,432.2879943847656,433.3240051269531,427.8450012207031,430.3059997558594,43945500,442.232430594308,435.89585658482144,422.41473999023435,48.0357120477302,4.255750213092654,6.591241298527982,-2.3354910854353284,3,1,2016
2016-01-15,430.2550048828125,430.2550048828125,364.33099365234375,364.33099365234375,153351008,429.5325709751674,431.5471888950893,422.6476800537109,27.22901833506208,-1.9775335924018123,4.877486320342023,-6.855019912743836,4,1,2016
2016-01-16,365.072998046875,390.5570068359375,354.91400146484375,387.5360107421875,120352000,420.950430733817,430.131094796317,423.2375604248047,37.48566904506803,-4.987512035780071,2.904486649117605,-7.8919986848976755,5,1,2016
2016-01-17,387.1520080566406,390.9649963378906,380.0920104980469,382.29901123046875,45319600,411.5658612932478,428.20138113839283,423.73592041015627,36.24410248669323,-7.706685853768761,0.782252148540332,-8.488938002309093,6,1,2016
2016-01-18,381.7330017089844,388.10400390625,376.6650085449219,387.1679992675781,54403900,402.8144313267299,426.52942911783856,424.0534002685547,38.29053477802586,-9.360857909303604,-1.2463698630284554,-8.114488046275149,0,1,2016
2016-01-19,387.0260009765625,387.7300109863281,378.97198486328125,380.14898681640625,46819800,394.88000052315846,424.0135236467634,424.1099597167969,36.47304878530262,-11.110106434282727,-3.2191171772793097,-7.890989257003417,1,1,2016
2016-01-20,379.739990234375,425.2669982910156,376.5989990234375,420.2300109863281,121720000,393.1455732073103,423.70923868815106,425.2647998046875,50.82654873154535,-9.156642735918979,-4.4066222890072435,-4.750020446911735,2,1,2016
2016-01-21,419.6319885253906,422.87701416015625,406.29998779296875,410.2619934082031,68338000,390.28214372907365,422.7423342750186,426.2862994384766,47.92634330111427,-8.316971522795882,-5.188692135764971,-3.1282793870309105,3,1,2016
2016-01-22,409.7510070800781,410.4100036621094,375.2820129394531,382.49200439453125,91546600,392.87657383510043,420.27366710844495,426.7152197265625,40.92090976361167,-9.779598937846572,-6.106873496181292,-3.67272544166528,4,1,2016
2016-01-23,382.4339904785156,394.5429992675781,381.9809875488281,387.4909973144531,56247400,392.8701433454241,418.0857151576451,427.2013793945313,42.54889552504546,-10.415303614854395,-6.968559519915912,-3.4467440949384827,5,1,2016
2016-01-24,388.10198974609375,405.4849853515625,387.510009765625,402.97100830078125,54824800,395.8232857840402,416.79809715634303,427.4818194580078,47.38402238873687,-9.559797244770436,-7.4868070648868175,-2.072990179883619,6,1,2016
2016-01-25,402.3169860839844,402.3169860839844,388.5539855957031,391.72601318359375,59062400,396.4744306291853,414.82833571661087,427.5406799316406,44.45702346159661,-9.677621810380401,-7.924970013985535,-1.7526517963948667,0,1,2016
2016-01-26,392.00201416015625,397.7659912109375,390.57501220703125,392.15301513671875,58147000,398.18929181780135,412.9327654157366,427.47302001953125,44.59697555067312,-9.625585381929454,-8.26509308757432,-1.3604922943551347,1,1,2016
2016-01-27,392.4440002441406,396.8429870605469,391.7820129394531,394.97198486328125,47424400,394.5810023716518,411.30738321940106,427.0611999511719,45.572005160309295,-9.250247741771318,-8.46212401841372,-0.7881237233575984,2,1,2016
2016-01-28,395.14599609375,395.50201416015625,379.7349853515625,380.28900146484375,59247900,390.2991463797433,407.6045735677083,426.31572021484374,41.47746516645568,-10.022055984351596,-8.774110411601296,-1.2479455727503002,3,1,2016
2016-01-29,380.1080017089844,384.3789978027344,365.4519958496094,379.4739990234375,86125296,389.86800275530135,404.0923825218564,425.5956201171875,41.255889420902676,-10.57755202746148,-9.134798734773332,-1.4427532926881472,4,1,2016
2016-01-30,378.864990234375,380.9169921875,376.4909973144531,378.2550048828125,30284400,388.548575265067,400.7897164481027,424.12196044921876,40.9039220887796,-10.989469519435431,-9.505732891705753,-1.4837366277296784,5,1,2016
2016-01-31,378.2929992675781,380.34698486328125,367.8349914550781,368.7669982910156,37894300,383.6622881208147,397.01714506603423,422.7973602294922,38.17404774270989,-11.943838798026434,-9.99335407296989,-1.950484725056544,6,1,2016
2016-02-01,369.3500061035156,378.0719909667969,367.9570007324219,373.0559997558594,51656700,380.9951433454241,393.4280017671131,421.5833801269531,40.11953664251973,-12.21330932624511,-10.437345123624933,-1.7759642026201767,0,2,2016
